Name,Record ID,Organization Full Name,Trimmed Name,Shorthand,Type,Sub-Type,EIN,EIN searched,Parent Org,Website,Mission/Description,Network Membership,# Networks,Network Founder,Maps Managed,Tech Tools,People,Street,City,State,Zip,General Contact Email,Org Phone,Location Scope,Location Notes,Data Source,Tax Class/Subsection,Subsection Description,nonprofit class w description,NTEE Code,Goals,Category of Work,Methods,Self-Identified Ideology,Funder Type,External Schema,DFN Coding,Candid Subject,Candid Population,CC Primary Work,CC Topic(s),CC Work Area(s),CC Audiences,Link to Agora,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2016 Revenue,2015 Revenue,Full Data,FLAG FOR REVIEW,Reason for flag/review,Flagged/unflagged by,Notes,Last modified,Created by,Orgs & Funders table,Latest Tax Year (from Link to Agora),DFN 990 data,Last modified by,Ruling Year,IRS Org Name,Resolved,Resolved by,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude
Woodmen of the World Omaha Woodmen Life Insurance Society,9197,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630498,,,,,,0,,,,,5308 Patton Cir,Tyler,TX,75704,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9198,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629634,,,,,,0,,,,,147 Davis Lake Rd,Forest City,NC,28043,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9199,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630112,,,,,,0,,,,,111 Lincoln Rd,Fayetteville,TN,37334,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9200,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1747066,,,,,,0,,,,,PO Box 787,Cartersville,GA,30120,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9201,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629743,,,,,,0,,,,,22946 Lake South Dr,Foley,AL,36535,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9202,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1817881,,,,,,0,,,,,PO Box 1684,Thomson,GA,30824,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9203,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-2103342,,,,,,0,,,,,PO Box 793,La Fayette,GA,30728,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9204,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629208,,,,,,0,,,,,4504 US Highway 31 S,Decatur,AL,35603,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9205,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,31-1181282,,,,,,0,,,,,4097 Lincolnton Rd,Washington,GA,30673,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9206,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629668,,,,,,0,,,,,1047 N 204th St,Elk Horn,NE,68022,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9207,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,52-1631412,,,,,,0,,,,,9485 Dewberry Dr,Newburg,MD,20664,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9208,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630936,,,,,,0,,,,,8378 Highway 772,West Liberty,KY,41472,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9209,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630496,,,,,,0,,,,,1101 Town Lake Dr,Longview,TX,75601,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9210,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,57-0876342,,,,,,0,,,,,1331 Highway 20,Abbeville,SC,29620,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9211,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629087,,,,,,0,,,,,4383 Nc Highway 801 N,Mocksville,NC,27028,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9212,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,56-1413253,,,,,,0,,,,,143 Walnut Dr,Hays,NC,28635,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9213,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630914,,,,,,0,,,,,PO Box 141,Auburn,KY,42206,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9214,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630642,,,,,,0,,,,,159 Royale Rd,Moultrie,GA,31768,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9215,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629420,,,,,,0,,,,,1732 Western Ave,Albany,NY,12203,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9216,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629400,,,,,,0,,,,,6636 Country Squire Ln,Omaha,NE,68152,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9217,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,56-2110605,,,,,,0,,,,,PO Box 296,Williamston,NC,27892,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9218,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7448959,,,,,,0,,,,,4314 San Mateo Ct,Granbury,TX,76048,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9219,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-2315430,,,,,,0,,,,,PO Box 787,Cartersville,GA,30120,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9220,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7275279,,,,,,0,,,,,544 De Flores Cir,Rio Vista,CA,94571,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9221,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1583311,,,,,,0,,,,,102 Yellow Creek Rd,Forsyth,GA,31029,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9222,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7574060,,,,,,0,,,,,196 Portland Ave,Auburn,CA,95603,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9223,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629541,,,,,,0,,,,,1700 Farnam St,Omaha,NE,68102,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9224,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629612,,,,,,0,,,,,4421 Atlantic Ave,Fayetteville,NC,28306,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9225,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7628688,,,,,,0,,,,,102 Sandhurst Rd,Mundelein,IL,60060,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9226,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,57-0805160,,,,,,0,,,,,20 Gibb Jordan Rd,Mount Croghan,SC,29727,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9227,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629205,,,,,,0,,,,,1810 Chase Dr,Saraland,AL,36571,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9228,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629288,,,,,,0,,,,,906 Executive Ct,Pineville,LA,71360,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
