Name,City,State,Zip,EIN,Source,Goals,Category of Work,Methods,Focus Areas
"Aleutian Pribilof Islands Association, Inc.",Anchorage,AK,99518,920073013,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Alexandria Tutoring Consortium, Inc.",Alexandria,VA,22314,562542869,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Alianza Municipal de Servicios Integrados Inc.,Caguas,PR,00725,660475971,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
Align9,Kingston,TN,37763,823897134,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
"All Chicago Making Homelessness History - Chicago, IL",Chicago,IL,60661,364272272,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Allegany County Human Resources Development Commission, Inc.",Cumberland,MD,21502,526065754,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures; Veterans and Military Families
Allegheny College,Meadville,PA,16335,250965212,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"Allegheny, County of",Pittsburgh,PA,15219,256001017,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Alliance for Multicultural Community Services (AMCS),Houston,TX,77081,760171217,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Alliance of Border Collaboratives (ABC),El Paso,TX,79905,271747560,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Alma College,Alma,MI,48801,381359083,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Alvernia University,Reading,PA,19607,231522643,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Amarillo Independent School District,Amarillo,TX,79106,756000036,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
American Conservation Experience,Flagstaff,AZ,86001,371473291,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
"American Heart Association, Inc.",Dallas,TX,75231,135613797,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
American Home Finding Association,Ottumwa,IA,52501,420713654,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
"American National Red Cross, The",Washington,DC,20006,530196605,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Healthy Futures
American River Parkway Foundation,Carmichael,CA,95608,942881344,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environment
American YouthWorks,Austin,TX,78741,742197942,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Environmental Stewardship; Healthy Futures
"Americas for the Arts, Inc (DBA Americas for Conservation and the Arts)",Boulder,CO,80302,320261204,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Amigos de las Americas,Houston,TX,77098,741547146,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"Anderson Interfaith Ministries, Inc",Anderson,SC,29624,570896524,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Antioch University,Keene,NH,03431,310536640,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Appalachia Intermediate Unit 8,Altoona,PA,16602,251215721,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Environmental Stewardship; Healthy Futures
Appalachian Community Action & Dev Agency Inc,Gate City,VA,24251,540785849,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
"Appalachian Forest Heritage Area, Inc",Elkins,WV,26241,200815517,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship
"Appalachian Regional Coalition on Homelessness, The",Johnson City,TN,37604,300224760,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Appalachian State University,Boone,NC,28608,561176030,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Appalachian Sustainable Development,Duffield,VA,24244,311445533,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Apple Patch Community, Inc.",Crestwood,KY,40014,611159539,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Applied Information Management Institute,Omaha,NE,68102,470749200,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"Area Agency On Aging Of Palm Beach/Treasure Coast, Inc.",West Palm Beach,FL,33407,650087858,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Area Agency on Aging of Central Florida, Inc.",Orlando,FL,32803,593144723,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Area Agency on Aging of West Central Arkansas INC,Hot Springs,AR,71913,710521904,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Area Agency on Aging, Region One, Inc",Phoenix,AZ,85014,742371957,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Area Office on Aging of Northwestern Ohio Inc.,Toledo,OH,43609,341310295,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship; Healthy Futures
"Arizona Caregiver Coalition, Inc.",Phoenix,AZ,85007,465295415,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Arizona Corporation Commission,Phoenix,AZ,85007,866004791,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Arizona Food Bank Network,Phoenix,AZ,85004,860507679,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Arizona State University,Tempe,AZ,85281,860196696,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
Arkansas Resource Conservation and Development Council,Roland,AR,72135,581755744,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Arkansas State University,Jonesboro,AR,72401,716000556,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Arrowhead Economic Opportunity Agency Inc,Virginia,MN,55792,416052144,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
ArtistYear,Philadelphia,PA,19127,811281053,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Asbury Park City School District,Asbury Park,NJ,07712,216000111,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Ascencia,Glendale,CA,91204,204233822,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Ashtabula County Community Action Agency,Ashtabula,OH,44005,341059824,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Asociacion Pro Juventud,Catano,PR,00962,660406990,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Economic Opportunity; Education; Healthy Futures
Aspire P16 Collaborative,Springfield,OH,45505,331147753,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Aspire! Afterschool Learning,Arlington,VA,22204,541705642,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Association House of Chicago,Chicago,IL,60651,362166961,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Association for Utah Community Health,Salt Lake City,UT,84107,870430946,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Association of State and Territorial Chronic Disease Program Directors, Inc.",Decatur,GA,30030,731328414,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Athens Community Council on Aging, Inc.",Athens,GA,30601,580977680,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Atlanta Regional Commission,Atlanta,GA,30303,586002324,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Attorney General, Office of the",Olympia,WA,98504,916001060,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Veterans and Military Families
Auburn University,Auburn,AL,36849,636000724,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
"Audubon Area Community Services, Inc.",Owensboro,KY,42301,237364935,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
Augsburg University,Minneapolis,MN,55454,410694721,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Ausable Valley Central School District,Clintonville,NY,12924,141505002,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Education; Healthy Futures
Austin Creative Reuse,Austin,TX,78723,271275644,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Environmental Stewardship
Austin Peay State University,Clarksville,TN,37044,620646576,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship; Healthy Futures
"AxessPointe Community Health Center, Inc.",Ravenna,OH,44266,341735884,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
BALTIMORE CITY HEALTH DEPARTMENT,Baltimore,MD,21202,526000769,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
BALTIMORE COUNTY MARYLAND,Towson,MD,21204,526000889,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"BAY AREA COMMUNITY RESOURCES, INC.",San Rafael,CA,94903,942346815,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Education; Environmental Stewardship
BENS Connects Community Development Corporation,Birmingham,AL,35203,811002589,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Healthy Futures
BIG BROTHERS BIG SISTERS OF S W LOUISIANA,Lake Charles,LA,70607,721009565,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BIG BROTHERS BIG SISTERS OF ST. LUCIE, INDIAN RIVER & OKEECHOBEE COUNTIES, INC",Fort Pierce,FL,34950,592455513,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
BLAIR SENIOR SERVICES INC,Altoona,PA,16601,251259406,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
"BLUE GRASS COMMUNITY ACTION PARTNERSHIP, INC.",Frankfort,KY,40601,610659583,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
BLUEPRINTS,Washington,PA,15301,251153028,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED,Reno,NV,89557,886000024,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
BOSTON MEDICAL CENTER CORPORATION,Boston,MA,02118,043314093,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
BOSTON MEDICAL CENTER CORPORATION Account 2,Boston,MA,02118,043314093,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"BOSTON, CITY OF",Boston,MA,02201,046001380,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
BOXWOOD LEARNING CENTER INC,Roselle,NJ,07203,814945906,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
BOYS & GIRLS CLUB OF CENTRAL NEW MEXICO,Albuquerque,NM,87110,850106943,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
BOYS & GIRLS CLUB OF MANHATTAN INC,Manhattan,KS,66502,237358134,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
BOYS & GIRLS CLUB OF NORTH LOUISIANA,Ruston,LA,71270,721375839,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
BOYS & GIRLS CLUB OF NORTHERN PLAINS INC,Brookings,SD,57006,731630215,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"BOYS & GIRLS CLUB OF PHARR, INC.",Pharr,TX,78577,752258513,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
BOYS & GIRLS CLUB OF VALDOSTA INC,Valdosta,GA,31601,237067775,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
BOYS & GIRLS CLUBS IN INDIAN COUNTRY INC,Atlanta,GA,30309,020656763,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
"BOYS & GIRLS CLUBS OF GREATER MILWAUKEE, INC.",Milwaukee,WI,53212,390806292,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
BOYS & GIRLS CLUBS OF PALM BEACH COUNTY INC,West Palm Beach,FL,33407,237060561,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BOYS AND GIRLS CLUB OF MARTIN COUNTY, INC",Hobe Sound,FL,33455,650253002,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"BOYS AND GIRLS CLUBS OF ACADIANA, INC.",Lafayette,LA,70503,720940072,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
BOYS GIRLS ADULT COMMUNITY CENTER,Marvell,AR,72366,710540330,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"BOYS' AND GIRLS' CLUB OF LAWRENCE, LAWRENCE, KANSAS",Lawrence,KS,66046,237296824,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BPE, Inc.",Boston,MA,02119,813213571,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BRANCHES, INC.",Miami,FL,33168,650716969,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BREAKTHROUGH MIAMI, INC",Miami,FL,33129,262105534,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"BROTHERS REDEVELOPMENT, INC.",Edgewater,CO,80214,840615347,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
BROWARD COLLEGE,Fort Lauderdale,FL,33301,591216107,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
BUTLER COUNTY,El Dorado,KS,67042,486035405,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures; Veterans and Military Families
"Backroads of Appalachia, Inc.",Lynch,KY,40855,844276436,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Baldwin Wallace University,Berea,OH,44017,134071462,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Baltimore City Department of Public Works,Baltimore,MD,21202,526000769,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship
"Baltimore Corps, Inc.",Baltimore,MD,21215,364913965,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Baltimore Crisis Response Inc,Baltimore,MD,21229,521799922,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Bank Street Food Bank, Inc.",Louisville,KY,40212,861305334,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Barnstable, County of",Barnstable,MA,02630,046001419,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Environmental Stewardship
