"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"11","Americans United for Separation of Church and State - Greater Houston (AU Houston)","76-0614993","501(c)(3)","AU Houston","Practitioner Organization","Chapter",NA,"https://auhouston.org/","The chapter presents educational programs, speaks out against governmental actions or policies that infringe on church-state separation, and encourages our supporters to make their voices heard. We work with the national office and other AU chapters in Texas and elsewhere.",NA,"Nancy Friedman","PO Box 550743","Houston","TX","77255","americansunited.houstonchapter@gmail.com",NA,"Community/Local - single","Education,Advocacy,Issue Campaigns","Organizing & Advocacy",NA,NA,NA,NA,"Civil and Political Rights,Interfaith Organizing/Engagement,Civic Education",NA,NA,NA,NA,29.7589382,-95.3676974
"12","Annette Strauss Institute for Civic Life at the University of Texas at Austin",NA,NA,NA,"Practitioner Organization","Campus Initiative","University of Texas at Austin","https://straussinstitute.moody.utexas.edu/","The Annette Strauss Institute for Civic Life’s mission is to educate, inspire, and connect the next generation of Texas civic leaders. The institute has provided experiential civic education opportunities for tens of thousands of students across Texas. We are in the business of giving students at The University of Texas at Austin and colleges, high schools, middle schools, and elementary schools across the state the knowledge, skills, attitudes, and dispositions for constructive civic involvement and leadership.

The Institute’s research projects provide critical insight for practitioners and scholars alike. We analyze how politically and civically involved Texans are in their communities and state. Students work alongside faculty on research projects to more deeply understand how the public, the media, and elected officials communicate about politics and civic life.",NA,"Mark Strama","2504 A Whitis Avenue (R2000)","Austin","TX","78712","strauss.institute@austin.utexas.edu","(512) 471-1959","State - single","Research,Dialogue,Youth Engagement,Leadership Training","Civic Education / Learning",NA,NA,NA,NA,"Civic Education,Youth Engagement and Leadership,Leadership Development for Healthy Democracy","CivXNow,FixUS",NA,NA,NA,30.2711286,-97.7436995
"13","Art & Drama Centre Theatre","27-3293759","501(c)(3)",NA,NA,NA,NA,"https://www.artcentretheatre.com/","The Art Centre Theatre's (ACT) main objectives are to:

1. Present recurring seasons of the best possible theatrical and artistic works using the best talent and materials available. 

2. Produce new, traditional, local, dramatic, comedic and musical and                         experimental theatrical works at a low cost to the public.

3. Present entertaining and educational children's programming during the school day, evenings and on weekends.

4. Satisfy the needs of special audiences.

5. Instill in the community a sense of unity and cohesion through the                          presentation of works that challenge conventional ideals and commonly accepted mores. ACT accomplishes these goals through the presentation of a highly varied program of musical theatre, drama, comedy, opera, operetta, dance, children's theatre, concerts and art exhibits in a season that runs year-round.",NA,NA,"1400 Summit Ave","Plano","TX","75074",NA,NA,"Community/Local - single","Arts and Culture","Service & Volunteerism",NA,NA,NA,NA,"Civic Arts",NA,NA,NA,NA,33.0136764,-96.6925096
"14","As A Mom A Sisterhood of Mommy Patriots","27-1323730","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.asamom.org/","Our mission is to empower Moms and Moms at Heart in preserving our Constitution, country and children's future.",NA,NA,"6606 FM 1488 RD. Ste. 148-109","Magnolia","TX","77354-2545",NA,NA,NA,"Dialogue","Civic Education / Learning",NA,NA,"Cannot locate any contact information on website; how much information is required to keep? website exists - erring on side of inclusion - resolved 05/02",NA,"Patriotic Values",NA,NA,NA,NA,30.2095594,-95.7507897
"15","Association for the Study of Free Institutions and Free Societies (ASFI)","20-0639714","501(c)(3)","ASFI","Practitioner Organization",NA,NA,NA,"The movement to create and multiply ""freedom studies"" programs has several specific objectives. It seeks to encourage and support faculty members and administrators who wish to establish new programs by putting them into communication with one another. It aims to provide them with information about model programs and to sponsor fora within which the challenges and opportunities involved in developing programs on free institutions can be discussed. And it seeks to generate the financial resources by which new programs can be launched or expanded. The Association for the Study of Free Institutions exists to encourage and mediate such activities.",NA,"Carson Holloway","301 Wayne Ave","Lubbock","TX","79416","steve.balch@ttu.edu","(806) 834-8289",NA,"Education,Funding,Curriculum Development,Dialogue",NA,NA,NA,NA,NA,"Patriotic Values",NA,NA,NA,NA,33.5855677,-101.8470215
"16","Austin Investigative Reporting Project (d.b.a. The Austin Bulldog)","27-0231463","501(c)(3)","d.b.a. The Austin Bulldog","Practitioner Organization",NA,NA,"https://theaustinbulldog.org/","The Austin Bulldog is a nonprofit independent online news site for investigative reporting in the public interest. The Austin Bulldog is dedicated to hard-nosed journalism covering topics that matter. Our primary focus is almost entirely on what’s happening in our hometown, the city of Austin, Texas, although we will occasionally cover important stories on the outskirts. We will investigate matters involving government, media, politics, and anything else warranting close scrutiny that’s within our resources. We will strive to be an important source of news on the topics we cover. The Austin Bulldog is nonprofit, nonpartisan and non-advocacy. We will question authority. We will go where the facts lead us and report accordingly. We set high standards for our reporting. It must be accurate. It must be factual. It must be fair. We adhere to the  Society of Professional Journalists Code of Ethics(http://www.spj.org/ethicscode.asp) . We seek to advance the cause of democracy, freedom of information and open government.",NA,"Ken Martin","2028 E BEN WHITE BLVD STE 2406115","AUSTIN","TX","78741",NA,"(512) 426-6115","Community/Local - single","Print and Digital Publication,Crowdsourcing","Civic Media",NA,NA,NA,NA,"Civic Journalism,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,30.2711286,-97.7436995
"17","Austin Parks Foundation","74-2648803","501(c)(3)",NA,"Funder",NA,NA,"https://austinparks.org/","Austin Parks Foundation partners with our community to enhance people’s lives by making our public parks, trails and green spaces better through volunteerism, innovative programming, advocacy and financial support.",NA,"Colin Wallis","PO Box 6160","Austin","TX","78762","apf@austinparks.org","(512) 477-1566","Community/Local - single","Service and Volunteerism,Funding,Advocacy","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Social Justice",NA,NA,NA,NA,30.2711286,-97.7436995
"18","Babes Fest Inc (a.k.a. Future Front Texas)","81-5349740","501(c)(3)","a.k.a. Future Front Texas","Practitioner Organization",NA,NA,"https://futurefronttexas.org/","Homegrown in Austin, Future Front is an award-winning culture space and exhibition series—with women and LGBTQ+ creatives at the front. 

As a 501c3 arts & culture nonprofit, we produce two community-led exhibitions, the Front Market & the Front Festival. 

Beyond our flagship exhibitions, we host year-round shows and workshops at our creative space in historic East Austin, welcoming 20,000+ visitors per year. Through these programs and a diverse network of partnerships, we invite the public to dream of a future where creativity, curiosity and intersectional design thrive in Texas—where we see ourselves and our cultures reflected in our communities.",NA,"Jane Hervey","5201 Park At Woodlands Dr","Austin","TX","78724","hello@futurefronttexas.org",NA,"Community/Local - single","Arts and Culture,Supporting Women/BIPOC-owned groups,Community-Building / Networking",NA,NA,NA,NA,NA,"Civic Arts,Community Engagement and Community Building,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
"19","Better Block Foundation","47-4885264","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.betterblock.org/","Better Block Foundation is a 501(c)3 nonprofit that educates, equips, and empowers communities and their leaders to reshape and reactivate built environments to promote the growth of healthy and vibrant neighborhoods.",NA,"Krista Nightengale","1723 S Ewing Ave","Dallas","TX","75216","Info@betterblock.org","(214) 941-4849","National","Cross-sector collaboration,Education,Arts and Culture,Technology,Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Service & Volunteerism,Community Engagement and Community Building,Economic Democracy,Social Justice",NA,NA,NA,NA,32.7762719,-96.7968559
"20","Brazoria County Cavalry","41-2267864","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://brazoriacountycavalry.org/","Brazoria County Cavalry exists to assist the families of Brazoria County, Texas who have family members that are serving, or have served in the Military, or  Law Enforcement, Firefighters or EMT's in Brazoria County, Texas by organizing the local motorcycle community and other Patriots to come together and provide escorts for their loved one(s) in times of sorrow or celebration at the family's request.",NA,"Tracy Read","2916 County Road 604","Brazoria","TX","77422",NA,NA,NA,"Service and Volunteerism,Membership","Service & Volunteerism",NA,NA,NA,NA,"Patriotic Values",NA,NA,NA,NA,29.0444147,-95.5691126
"21","Brazoria County Voter Initiative","88-3894542","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.brazoriacountyvoterinitiative.org/","The Mission of the Brazoria County Voter Initiative is to TRAIN and EDUCATE the public to facilitate Voter Engagement. We pride ourselves in providing exceptional workshop presentations of the highest standards to educate, train, and energization the community to prioritize voting and maintain consistent voter engagement. Each workshop presentation tailored to address the specific needs of your audience and is designated to dissect and present vital information on current voting rules and regulations taking on innovative approach to continuing to educate on the challenges of voting.",NA,NA,"5519 Autumn Ash Ln","Rosharon","TX","77583","bcvoterinitiative@gmail.com","(832) 848-0815","Community/Local - single","Education","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,29.3521203,-95.460341
"22","Council On American-Islamic Relations - Texas/Houston (CAIR-Texas/Houston)","37-1453067","501(c)(3)","CAIR-Texas/Houston","Practitioner Organization","Chapter",NA,"https://cairhouston.com/","CAIR’s mission is to enhance understanding of Islam, protect civil rights, promote justice, and empower American Muslims.

La misión de CAIR es proteger las libertades civiles, mejorar la comprensión del Islam, promover la justicia, y empoderar a los musulmanes en los Estados Unidos.",NA,"William White","7211 Regency Square Blvd","Houston","TX","77036","info@houston.cair.com","(713) 838-2247","State - single","Youth Engagement,Print and Digital Publication,Communications","Organizing & Advocacy",NA,NA,"chapter organization; we do not have entry for parent organization; we do not have entries for other TX chapters or other national chapters; discussed and resolved 03/28/2024;",NA,"Faith-Based Organizing/Engagement/Advocacy,Social Justice,Civil and Political Rights","MVP",NA,NA,NA,29.7589382,-95.3676974
"23","Council On American-Islamic Relations - Austin/Fort Worth (CAIR-ATX)","82-0688469","501(c)(3)","CAIR-ATX","Practitioner Organization","Chapter",NA,"https://www.cairdfw.org/","CAIR’s mission is to enhance understanding of Islam, protect civil rights, promote justice, and empower American Muslims.

La misión de CAIR es proteger las libertades civiles, mejorar la comprensión del Islam, promover la justicia, y empoderar a los musulmanes en los Estados Unidos.",NA,"William White","14900 Avery Ranch Blvd, Suite C200, PMB 1045","Austin","TX","78717","info@cairtx.org","(512) 785-7105","State - single","Youth Engagement,Print and Digital Publication,Communications","Organizing & Advocacy",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy,Social Justice,Civil and Political Rights",NA,NA,NA,NA,30.2711286,-97.7436995
"24","Capital Connections Roundtable","84-3461607","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.linkedin.com/company/capital-connections-roundtable/","The Capital Connections Roundtable promotes civic engagement, corporate citizenship, and social responsibility by convening a regular monthly forum for professionals of influence to engage in discussion of events and trends occurring at the intersection of government, business, and the voluntary sector.",NA,"Todd Foster","1901 N Akard St","Dallas","TX","75201",NA,NA,NA,"Education,Dialogue,Cross-sector collaboration,Community-Building / Networking","Civic Associations",NA,NA,"What is the minimum amount of information that we feel is vital to include an organization? Valid candid entry, but formal website it defunct; only able to access info through LinkedIn profile;",NA,"Corporate Responsibility for Democracy,Leadership Development for Healthy Democracy",NA,NA,NA,NA,32.7762719,-96.7968559
"25","Capital of Texas Media Foundation","46-3398438","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.austinmonitor.com/cotmf/","The Capital of Texas Media Foundation (CoTMF) is a nonprofit media company that empowers Central Texans with the news and information they need to to understand and influence local civic and social issues. CoTMF is home to two digital publications, the Austin Monitor and (through a fiscal sponsorship) GivingCity Austin. These entities publish independently and serve as the premiere news sources for local leaders, change-makers, activists and volunteers.

CoTMF puts content to work in service to the community. Our mission is to positively impact our community through content - online and in person - and increase the number of Central Texas activists, volunteers, voters and donors.",NA,NA,"1023 Springdale Rd Ste 1j","Austin","TX","78721","director@cotmf.org",NA,"Community/Local - single","Research,Youth Engagement,Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism",NA,NA,NA,NA,30.2711286,-97.7436995
"26","Carry On","83-4245874","501(c)(3)",NA,"Practitioner Organization,Funder",NA,NA,"https://www.carryon-usa.org/?fbclid=IwAR3OwIC10I-FUQUYnsexXD5XGAt7b7_LMbqqh4eh6Lhrpkqckxrhikx_uNA","The Carry On mission is to honor the sacrifice of our nation's fallen military, law enforcement and first responders through advocacy, mentorship and empowerment of surviving families.",NA,"""Jeremy
  Soles""","877 LAKE TERRACE DR","DALLAS","TX","75218",NA,NA,"National","Commemoration,Community-Building / Networking","Service & Volunteerism",NA,NA,NA,NA,"Patriotic Values,Service & Volunteerism",NA,NA,NA,NA,32.7762719,-96.7968559
"27","Casa Del Llano","32-0086570","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/casadellano/","Established October-2000

Mission Statement:

“Dando La Mano al Hermano” CASA is striving to help people help themselves by way of education with tradition,culture and communication.",NA,"Lydia Villanueva","309 E 6th St","Hereford","TX","79045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8245521,-102.398778
"28","Castle Hills Community Organization","81-1902154","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://castlehillscommunityorganization.org/","The CHCO is a community organization that hosts social events throughout the year.  We reach out to all Castle Hills families and households, to encourage participation in each special event, which helps unify and strengthen our community.",NA,"Bernard Juettemeyer","209 Lemonwood Dr","San Antonio","TX","78213","castlehillscommunityorg@gmail.com",NA,"Community/Local - single","Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Community Engagement and Community Building",NA,NA,NA,NA,29.4246002,-98.4951405
"29","Change the World Allen","83-3940450","501(c)(3)",NA,NA,NA,NA,"https://changetheworldallen.org/","Change the World Allen is dedicated to developing a stronger and more resilient Allen-Lucas-Fairview community by encouraging acts of service between neighbors.   We are a 501C non-profit that equips and mobilizes community members to share their talents and help others.

Children, teens, and adults can choose from a variety of community-wide projects that serve those who need help maintaining their homes, are hungry, lonely, in need of clothing, seeking safe shelter, or longing for comfort.

 We begin each spring with Change the World Weekend.  Volunteers form work teams for various projects including home repair and yardwork, as well as food and Military support packaging.  We continue this work throughout the year as needed.",NA,NA,"601 S. Greenville Ave","Allen","TX","75002","changetheworldallen@gmail.com",NA,"Community/Local - single","Service and Volunteerism,Community-Building / Networking,Food Justice and Access","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,33.1031744,-96.6705503
"30","Children Are A Gift Foundation","04-3665297","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.childrensparktyler.org/","The Children's Park of Tyler exists to celebrate the lives of all children through the art of natural play, communicating purpose into the life of every child and supporting families who have lost a child all to the glory of God.",NA,"Eloise  Ghrist","5380 Old Bullard Rd Ste 600 # 122","Tyler","TX","75703",NA,"(903) 939-1597","Community/Local - single","Commemoration,Mental Health,Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Faith-Based Organizing/Engagement/Advocacy",NA,NA,NA,NA,32.3512601,-95.3010624
"31","Children's Defense Fund of Texas","52-0895622.",NA,NA,"Practitioner Organization",NA,NA,"https://cdftexas.org/","We envision a Texas where all children have an equal chance to thrive, regardless of their race, income, or immigration status. They are our future, and they are already leading in our communities today. We champion state and local public policies that systematically expand access to the resources Texas children need at every stage of their youth. We do this by speaking to legislators, publishing research, and organizing Texans like you to advance the changes our communities need.",NA,NA,"1910 E. MLK Jr. Blvd.","Austin","TX","78702","cdftexas@childrensdefense.org","(713) 664-4080",NA,NA,NA,NA,NA,NA,NA,NA,"50x2026,SLSV",NA,NA,NA,30.2711286,-97.7436995
"32","Christian Mens Job Corps of Kerr C","56-2501923","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.cmlifeskills.com/","To inspire hope by serving unmet physical, educational, and spiritual needs in the name of Christ",NA,"Mike Lowe","PO Box 294209","Kerrville","TX","78029","info@cmjckerrcounty.com","(830) 377-1881","Community/Local - single","Education,Professional Training,Service and Volunteerism","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy,Service & Volunteerism",NA,NA,NA,NA,30.048469,-99.1399464
"33","Christians Engaged","84-2478845","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://christiansengaged.org/","TO AWAKEN, MOTIVATE, EDUCATE, AND EMPOWER ORDINARY BELIEVERS IN JESUS CHRIST TO: PRAY FOR OUR NATION AND ELECTED OFFICIALS REGULARLY, TO VOTE IN EVERY ELECTION TO IMPACT OUR CULTURE, AND TO ENGAGE OUR HEARTS IN SOME FORM OF CIVIC EDUCATION AND INVOLVEMENT FOR THE WELLBEING OF OUR NATION.",NA,"Bunni  Pounds","2600 E RENNER RD APT 229","RICHARDSON","TX","75082","info@christiansengaged.org","(972) 271-7788","National","Education,Podcasts/Radio,Print and Digital Publication,Communications","Voter Engagement,Faith-Based Efforts",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Civic Education,Voting Rights and Voter Participation,Faith-Based Organizing/Engagement/Advocacy",NA,NA,NA,NA,32.9481789,-96.7297206
"34","Citizen Discourse",NA,NA,NA,"Practitioner Organization",NA,NA,"https://citizendiscourse.org/","Our mission is to support the development of self-aware and empathetic global citizens prepared to contribute to the advancement of a more just and compassionate society. Through workshops, trainings and consulting, we help you build trust, and create space for productive conversations.",NA,"Karen Gross","4802 Gladeview Dr.","Austin","TX","78745","info@citizendiscourse.org","(512) 799-0348","National","Education,Dialogue,Deliberation,Youth Engagement,Mental Health","Connecting Across Differences",NA,NA,NA,NA,"Bridging Divides,Healing Justice,Social Isolation","Citizen Connect,CivXNow,FixUS,Listen First Coalition",NA,NA,NA,30.2711286,-97.7436995
"35","Citizens Assisting Collin County Sheriff's Office CACCSO","75-2747894","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://caccso.org/public/","The mission of Citizens Assisting Collin County Sheriff's Office (CACCSO) is to bring together the graduates of the Collin County Sheriff's Office Citizen's Academy to enhance the relations between the Sheriff's Office and the community by volunteering their time to provide continuing support to the Sheriff's office in a variety of areas.

CACCSO members may assist with civic events, such as helping in the Sheriff's booth at various activities, including crime watch meetings or events at local schools. Riding with deputies on patrol gives you a fuller realization of what a deputy faces under real life conditions. CACCSO meets monthly at the Sheriff's office in McKinney, Texas.",NA,"T. Kincaid","4300 Community Ave","Mckinney","TX","75071",NA,NA,"Community/Local - single","Service and Volunteerism","Civic Associations",NA,NA,"Including public policy issues? Public safety and security 
The sharing, reporting and feedback by citizens about public problems and services - Citizen-Driven Data Sharing - resolved 05-02",NA,"Civic Infrastructure Development,Safety and Security,Citizen Reporting and Information Sharing",NA,NA,NA,NA,33.1976496,-96.6154471
"36","Citizens Environmental Coalition","74-1692204","501(c)(3)",NA,"Coalition",NA,NA,"https://cechouston.org/","To foster dialogue, education, and collaboration on environmental issues in the Houston / Gulf Coast region.",NA,"Charlotte Cisneros","PO Box 702","Houston","TX","77001","info@cechouston.org",NA,"Community/Local - single","Membership,Dialogue,Education,Organizing","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,29.7589382,-95.3676974
"37","Citizens for Self-Governance","27-1657203","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://selfgovern.com/","Citizens for Self-Governance is dedicated to the mission of recruiting, educating, training, equipping and motivating a nationwide network of self-governing citizen activists, committed to bringing government back to the people.",NA,"Mark Meckler","5850 San Felipe Street, Suite 575a","Houston","TX","77057","info@selfgovern.org","(512) 943-2014","National","Education,Communications,Issue Campaigns","Deliberative/Participatory/Direct Democracy",NA,NA,NA,NA,"Civic Knowledge,Individual Rights,Participatory Democracy,Direct Democracy",NA,NA,NA,NA,29.7589382,-95.3676974
