Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Austin Investigative Reporting Project (d.b.a. The Austin Bulldog),27-0231463,501(c)(3),d.b.a. The Austin Bulldog,Practitioner Organization,,,https://theaustinbulldog.org/,"The Austin Bulldog is a nonprofit independent online news site for investigative reporting in the public interest. The Austin Bulldog is dedicated to hard-nosed journalism covering topics that matter. Our primary focus is almost entirely on what’s happening in our hometown, the city of Austin, Texas, although we will occasionally cover important stories on the outskirts. We will investigate matters involving government, media, politics, and anything else warranting close scrutiny that’s within our resources. We will strive to be an important source of news on the topics we cover. The Austin Bulldog is nonprofit, nonpartisan and non-advocacy. We will question authority. We will go where the facts lead us and report accordingly. We set high standards for our reporting. It must be accurate. It must be factual. It must be fair. We adhere to the  Society of Professional Journalists Code of Ethics(http://www.spj.org/ethicscode.asp) . We seek to advance the cause of democracy, freedom of information and open government.",,Ken Martin,2028 E BEN WHITE BLVD STE 2406115,AUSTIN,TX,78741,,(512) 426-6115,Community/Local - single,"Print and Digital Publication,Crowdsourcing",Civic Media,,,,,"Civic Journalism,Transparency and Addressing Mis/Disinformation",,,,,30.2711286,-97.7436995,
Every Voice Texas (d.b.a. Asian Texans for Justice),87-2407966,501(c)(3),d.b.a. Asian Texans for Justice,Practitioner Organization,,,https://www.asiantexansforjustice.org/,We connect Asian and Pacific Islander Texans to civic action to build personal and political power.,,Lily Trieu,4321 HOUSE OF YORK,AUSTIN,TX,78730,info@asiantexansforjustice.org,,State - single,"Youth Engagement,Leadership Training,Policy Advocacy and Analysis,Research,Communications,Dialogue,Narrative Storytelling,Community-Building / Networking,Education,Advocacy",Organizing & Advocacy,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Leadership Development for Healthy Democracy,Social Justice",,,,,30.2711286,-97.7436995,
League of Women Voters of Texas Action Fund,74-1106488,501(c)(4),,Practitioner Organization,Chapter,,https://www.lwvtexas.org/,"MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",,Joyce LeBombard,1212 GUADALUPE ST STE 107,AUSTIN,TX,78701,,(512) 472-1100,State - single,,Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion",,,,,30.2711286,-97.7436995,
Progress Texas Institute,61-1639490,501(c)(3),,Practitioner Organization,Journalism/Media,,https://progresstexas.org/,The Progress Texas Institute provides research and strategic communications on issues with the ultimate goal of increasing civic engagement.,,Kathleen Thompson,PO BOX 162922,AUSTIN,TX,78716,social@progresstexas.org,(512) 814-6252,"""State - multiple, not region-specific""","Podcasts/Radio,Print and Digital Publication",Civic Media,,,,,Civic Journalism,,,,,30.2711286,-97.7436995,
Texas Blue Action Fund,86-3279257,501(c)(4),,Practitioner Organization,,,https://www.texasblueaction.com/,On a mission to expand the electorate and build long-term sustainable Democratic organizing infrastructure in Texas.,,Lana Hansen,PO BOX 41424,AUSTIN,TX,78704,info@blueactiondems.com,,"State - single,Community/Local - multiple","Organizing,Community-Building / Networking,Service and Volunteerism,Youth Engagement,Education","Voter Engagement,Organizing & Advocacy",,,,,Voter Engagement/Registration/Education,,,,,30.2711286,-97.7436995,
Texas Freedom Network Education Fund (TFNEF),74-2788317,501(c)(3),TFNEF,Practitioner Organization,,,https://tfn.org/,"TFNEF is a statewide non-partisan, grassroots organization that is building an informed and effective movement for equality and social justice.",,Val Benavidez,PO BOX 1624,AUSTIN,TX,78767-1624,tfn@tfn.org,(512) 322-0545,State - single,"Advocacy,Education,Print and Digital Publication,Funding",Organizing & Advocacy,,,,,"Social Justice,Civil and Political Rights,Interfaith Organizing/Engagement",,,,,30.2711286,-97.7436995,
The Onestar Foundation (ONSC),20-0445492,501(c)(3),ONSC,Funder,,,https://onestarfoundation.org/,"OneStar National Service Commission (ONSC) works in conjunction with OneStar Foundation (OSF) to build a stronger nonprofit sector for a better Texas. As Texas' Governor-designated state service commission, the ONSC administers $18 million in federal funding per year to a portfolio of AmeriCorps Texas programs (made up of nonprofits, state agencies, and P-16 educational institutions) that leverages additional match funding from local communities. These programs serve local needs, raise their own required match funding, apply through a highly competitive process, and meet rigorous standards to receive funding. OSF oversees grant making and administration,  evaluation, monitoring, training and technical support to bring these critical funds to Texas and advance the field of national service.",,Chris Bugbee,2200 E MARTIN LUTHER KING JR 100,AUSTIN,TX,78702,info@onestarfoundation.org.,(512) 287-2000,State - single,"Leadership Training,Professional Training,Funding",Service & Volunteerism,Community Foundation,,,,Service & Volunteerism,,,,,,,
Access Empowerment,45-4767467,501(c)(3),,Practitioner Organization,,,https://www.parkingmobility.com/,"Access Empowerment engages disability communities and local governments in eight states to raise awareness on disabled parking abuse and provide a long-term solution utilizing technology and education, impacting over 4.5 million individuals. Additionally, our mission is to empower people with disabilities through technology. We are located in Austin, TX.",,Mack Marsh,1101 W 34th St Ste 175,Austin,TX,78705,,(512) 348-7775,,"Education,Technology",Civic Associations,,,,,"Diversity & Inclusion,Community Engagement and Community Building",,,,,30.2711286,-97.7436995,
American YouthWorks,742197942,,,,,,,,,,,Austin,TX,78741,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Annette Strauss Institute for Civic Life at the University of Texas at Austin,,,,Practitioner Organization,Campus Initiative,University of Texas at Austin,https://straussinstitute.moody.utexas.edu/,"The Annette Strauss Institute for Civic Life’s mission is to educate, inspire, and connect the next generation of Texas civic leaders. The institute has provided experiential civic education opportunities for tens of thousands of students across Texas. We are in the business of giving students at The University of Texas at Austin and colleges, high schools, middle schools, and elementary schools across the state the knowledge, skills, attitudes, and dispositions for constructive civic involvement and leadership.

The Institute’s research projects provide critical insight for practitioners and scholars alike. We analyze how politically and civically involved Texans are in their communities and state. Students work alongside faculty on research projects to more deeply understand how the public, the media, and elected officials communicate about politics and civic life.",,Mark Strama,2504 A Whitis Avenue (R2000),Austin,TX,78712,strauss.institute@austin.utexas.edu,(512) 471-1959,State - single,"Research,Dialogue,Youth Engagement,Leadership Training",Civic Education / Learning,,,,,"Civic Education,Youth Engagement and Leadership,Leadership Development for Healthy Democracy","CivXNow,FixUS",,,,30.2711286,-97.7436995,
AUSTIN ACHIEVE PUBLIC SCHOOLS,273700807,,,,,,,,,,,Austin,TX,78723,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Austin Creative Reuse,271275644,,,,,,,,,,,Austin,TX,78723,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Austin Parks Foundation,74-2648803,501(c)(3),,Funder,,,https://austinparks.org/,"Austin Parks Foundation partners with our community to enhance people’s lives by making our public parks, trails and green spaces better through volunteerism, innovative programming, advocacy and financial support.",,Colin Wallis,PO Box 6160,Austin,TX,78762,apf@austinparks.org,(512) 477-1566,Community/Local - single,"Service and Volunteerism,Funding,Advocacy",Service & Volunteerism,,,,,"Service & Volunteerism,Social Justice",,,,,30.2711286,-97.7436995,
"AUSTIN, CITY OF",746000085,,,,,,,,,,,Austin,TX,78744,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Babes Fest Inc (a.k.a. Future Front Texas),81-5349740,501(c)(3),a.k.a. Future Front Texas,Practitioner Organization,,,https://futurefronttexas.org/,"Homegrown in Austin, Future Front is an award-winning culture space and exhibition series—with women and LGBTQ+ creatives at the front. 

As a 501c3 arts & culture nonprofit, we produce two community-led exhibitions, the Front Market & the Front Festival. 

Beyond our flagship exhibitions, we host year-round shows and workshops at our creative space in historic East Austin, welcoming 20,000+ visitors per year. Through these programs and a diverse network of partnerships, we invite the public to dream of a future where creativity, curiosity and intersectional design thrive in Texas—where we see ourselves and our cultures reflected in our communities.",,Jane Hervey,5201 Park At Woodlands Dr,Austin,TX,78724,hello@futurefronttexas.org,,Community/Local - single,"Arts and Culture,Supporting Women/BIPOC-owned groups,Community-Building / Networking",,,,,,"Civic Arts,Community Engagement and Community Building,Diversity & Inclusion",,,,,30.2711286,-97.7436995,
Better Choices,,,,Practitioner Organization,Think Tank,,https://BetterChoices.vote,Creating a representative democracy and ending polarization by promoting election systems that elect a candidate the voters prefer to any other candidate wins.,,Robbie Robinette,2500 Hatley Drive,Austin,TX,78746,RobbieRobinette@betterChoices.vote,(512) 666-4427,National,,Electoral Reform,,,,,"Voting Research,Electoral Reform,Responsive Governance",NANR,,,,30.2711286,-97.7436995,
Breakthrough,742991346,,,,,,,,,,,Austin,TX,78702,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Capital of Texas Media Foundation,46-3398438,501(c)(3),,Practitioner Organization,,,https://www.austinmonitor.com/cotmf/,"The Capital of Texas Media Foundation (CoTMF) is a nonprofit media company that empowers Central Texans with the news and information they need to to understand and influence local civic and social issues. CoTMF is home to two digital publications, the Austin Monitor and (through a fiscal sponsorship) GivingCity Austin. These entities publish independently and serve as the premiere news sources for local leaders, change-makers, activists and volunteers.

CoTMF puts content to work in service to the community. Our mission is to positively impact our community through content - online and in person - and increase the number of Central Texas activists, volunteers, voters and donors.",,,1023 Springdale Rd Ste 1j,Austin,TX,78721,director@cotmf.org ,,Community/Local - single,"Research,Youth Engagement,Print and Digital Publication",Civic Media,,,,,Civic Journalism,,,,,30.2711286,-97.7436995,
Children's Defense Fund of Texas,52-0895622.,,,Practitioner Organization,,,https://cdftexas.org/,"We envision a Texas where all children have an equal chance to thrive, regardless of their race, income, or immigration status. They are our future, and they are already leading in our communities today. We champion state and local public policies that systematically expand access to the resources Texas children need at every stage of their youth. We do this by speaking to legislators, publishing research, and organizing Texans like you to advance the changes our communities need.",,,1910 E. MLK Jr. Blvd.,Austin,TX,78702,cdftexas@childrensdefense.org,(713) 664-4080,,,"Civic Education / Learning,Organizing & Advocacy",,,,,"Youth Engagement and Leadership,Public Health,Civic Education","50x2026,SLSV",,,,30.2711286,-97.7436995,
Citizen Discourse,,,,Practitioner Organization,,,https://citizendiscourse.org/,"Our mission is to support the development of self-aware and empathetic global citizens prepared to contribute to the advancement of a more just and compassionate society. Through workshops, trainings and consulting, we help you build trust, and create space for productive conversations.",,Karen Gross,4802 Gladeview Dr.,Austin,TX,78745,info@citizendiscourse.org,(512) 799-0348,National,"Education,Dialogue,Deliberation,Youth Engagement,Mental Health",Connecting Across Differences,,,,,"Bridging Divides,Healing Justice,Social Isolation","Citizen Connect,CivXNow,FixUS,Listen First Coalition",,,,30.2711286,-97.7436995,
Common Cause Texas,,,,Practitioner Organization,,Common Cause,https://www.commoncause.org/texas,"Common Cause Texas has an innovative, pragmatic, and comprehensive pro-democracy agenda. We’re here to build a better democracy in our Lone Star State. Using a powerful combination of grassroots organizing, coalition building, policy development, public education, lobbying and advocacy, we work towards solutions that will reduce the influence of money in politics, end partisan gerrymandering and ensure that our elections are free, fair and accessible.",,,"9901 Brodie Lane, Suite 160 PMB 684",Austin,TX,78748,,,,,"Electoral Reform,Organizing & Advocacy",,,,,"Campaign Finance Reform,Voting Rights and Voter Participation,Transparency and Addressing Mis/Disinformation,Electoral Reform",Fair Maps Texas,,,,,,
Communities in Schools of Central Texas,742369020,,,,,,,,,,,Austin,TX,78704,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Council On American-Islamic Relations - Austin/Fort Worth (CAIR-ATX),82-0688469,501(c)(3),CAIR-ATX,Practitioner Organization,Chapter,,https://www.cairdfw.org/,"CAIR’s mission is to enhance understanding of Islam, protect civil rights, promote justice, and empower American Muslims.

La misión de CAIR es proteger las libertades civiles, mejorar la comprensión del Islam, promover la justicia, y empoderar a los musulmanes en los Estados Unidos. ",,William White,"14900 Avery Ranch Blvd, Suite C200, PMB 1045",Austin,TX,78717,info@cairtx.org,(512) 785-7105,State - single,"Youth Engagement,Print and Digital Publication,Communications",Organizing & Advocacy,,,,,"Faith-Based Organizing/Engagement/Advocacy,Social Justice,Civil and Political Rights",,,,,30.2711286,-97.7436995,
Deeds Not Words,82-3135054,,,Practitioner Organization,,,https://deedsnotwords.com/,"At Deeds, we believe in galvanizing the power of young people to become agents of change igniting cultural shifts through leader development, grassroots organizing, and the power of creative expression.",,Andrea  Reyes,2318 Santa Rosa Street,Austin,TX,78702,,,State - single,"Lobbying,Youth Engagement,Advocacy,Communications,Arts and Culture,Narrative Storytelling",Organizing & Advocacy,,,"has campus chapters all over Texas - do we batch those? - Added as network, unflagged by KB",,"Civil and Political Rights,Economic Advocacy/Justice/Reform,Diversity & Inclusion,Social Justice",,,,,,,
Every Texan,74-2898197,501(c)(3),,Practitioner Organization,,,https://everytexan.org/,"At Every Texan (formerly Center for Public Policy Priorities), our goal is to make Texas the best state for people and families to live. Texans love to contribute to and share in the prosperity of our great state. But unfortunately, too many people lack fair access to the conditions necessary to thrive—like a quality education, affordable healthcare, and a good job. Social justice requires public policy. Systemic policy solutions are one of the most effective ways to address current inequities so that Texans of all backgrounds can thrive. Every Texan strengthens public policy to expand opportunity and equity for Texans.",,Marisa Bono,"7020 Easy Wind Drive, Suite 200",Austin,TX,78752,info@everytexan.org,(512) 320-0222,State - single,"Policy Advocacy and Analysis,Research,Lobbying",Civic Research,,,,,"Policy Development,Public Health,Racial Equity,Economic Advocacy/Justice/Reform",,,,,30.2711286,-97.7436995,
GENAUSTIN,742837732,,,,,,,,,,,Austin,TX,78741,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Good Politics,83-3917913,501(c)(4),,Practitioner Organization,,,https://www.ourgoodpolitics.org/,"GoodPolitics is a nonprofit dedicated to making the democratic process approachable, human, and fun. We believe every American plays a vital role in building a more equitable country, and we’re here to help you get started.",,,1201 Tinnin Ford Rd Apt 10,Austin,TX,78741,,,Community/Local - single,"Communications,Education,Mental Health",Voter Engagement,,,,,Voter Engagement/Registration/Education,,,,,30.2711286,-97.7436995,
Greater Austin YMCA,,,,Practitioner Organization,,,https://www.austinymca.org/,"Our mission serves all ages, cultures, races and ethnicities, genders, sexual orientations, abilities, and faiths. We recognize our heritage, the power of love, and a culture of belonging within our mission: To put Christian principles (such as caring, honesty, respect, and responsibility) into practice through programs that build a healthy spirit, mind, and body for all.",,,55 North IH 35,Austin,TX,78702,,(512) 322-9622,,,Service & Volunteerism,,,,,"Community Engagement and Community Building,Youth Engagement and Leadership",,,,,,,
Ground Game Texas,83-0567866,501(c)(4),,Practitioner Organization,,,https://www.groundgametexas.org/en/,Ground Game Texas is a civic engagement organization with primary activities including voter registration and voter mobilization through nonpartisan ballot initiatives and issue advocacy.,,Julie Oliver,4107 Medical Pkwy 212,Austin,TX,78722,,(202) 552-0221,State - single,"Organizing,Advocacy,Public Petition,Service and Volunteerism,Commemoration,Podcasts/Radio",Organizing & Advocacy,,,same org and Ground Game - different EIN; both 501(c)(4)s; should keep this entry because more up to date on Candid;,,"Voter Engagement/Registration/Education,Community Organizing",,,,,,,
"Health And Human Services Commission, Texas",742638006,,,,,,,,,,,Austin,TX,78751,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Homeless Network of Texas,742646586,,,,,,,,,,,Austin,TX,78704,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Imagine Art,743010913,,,,,,,,,,,Austin,TX,78702,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Indian America Coalition of Central Texas,84-3437559,501(c)(3),,Practitioner Organization,,,https://www.iacctaustin.org/,"Our mission is to promote South Asian culture, heritage, and values in Central Texas by organizing cultural events and workshops, providing educational resources, and empowering our community through various outreach programs.",,Shweta Padmanabha,P.O. Box 9133,Austin,TX,78766,iacctaustin@gmail.com,,Community/Local - single,"Education,Leadership Training,Dialogue,Service and Volunteerism",Organizing & Advocacy,,,,,"Community Organizing,Diversity & Inclusion,Voter Engagement/Registration/Education,Immigrant Integration",,,,,30.2711286,-97.7436995,
Jolt Action,81-4715525,501(c)(4),,Practitioner Organization,,,https://jolttx.org/,"Jolt gives Latinos the power to make change, so we can have a say in how Texas is run.  Jolt brings Latinos together across Texas to win on the issues that matter.  Jolt doesn’t stand for any one party or politician. It stands for the community, families and parents who worked hard to give their children a better life. ",,Diana Maldonado,PO Box 4185,Austin,TX,78765,info@jolttx.org,,State - single,"Leadership Training,Youth Engagement,Organizing,Arts and Culture",Voter Engagement,,,,Progressive,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Civil and Political Rights",MVP,,,,30.2711286,-97.7436995,
