"","Name","Record ID","Organization Full Name","Trimmed Name","Shorthand","Type","Sub-Type","EIN","EIN searched","Parent Org","Website","Mission/Description","Network Membership","# Networks","Network Founder","Maps Managed","Tech Tools","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Location Notes","Data Source","Tax Class/Subsection","Subsection Description","nonprofit class w description","NTEE Code","Goals","Category of Work","Methods","Self-Identified Ideology","Funder Type","External Schema","DFN Coding","Candid Subject","Candid Population","CC Primary Work","CC Topic(s)","CC Work Area(s)","CC Audiences","Link to Agora","2022 Revenue","2021 Revenue","2020 Revenue","2019 Revenue","2018 Revenue","2017 Revenue","2016 Revenue","2015 Revenue","Full Data","FLAG FOR REVIEW","Reason for flag/review","Flagged/unflagged by","Notes","Last modified","Created by","Orgs & Funders table","Latest Tax Year (from Link to Agora)","DFN 990 data","Last modified by","Ruling Year","IRS Org Name","Resolved","Resolved by","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","Latitude","Longitude","lat","long"
"11","Woodmen of the World Omaha Woodmen Life Insurance Society",9197,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630498",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"5308 Patton Cir","Tyler","TX",75704,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3512601,-95.3010624
"12","Woodmen of the World Omaha Woodmen Life Insurance Society",9198,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629634",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"147 Davis Lake Rd","Forest City","NC",28043,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3337279,-81.8649245
"13","Woodmen of the World Omaha Woodmen Life Insurance Society",9199,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630112",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"111 Lincoln Rd","Fayetteville","TN",37334,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1520267,-86.5705509
"14","Woodmen of the World Omaha Woodmen Life Insurance Society",9200,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-1747066",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 787","Cartersville","GA",30120,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1652304,-84.7997613
"15","Woodmen of the World Omaha Woodmen Life Insurance Society",9201,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629743",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"22946 Lake South Dr","Foley","AL",36535,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4065868,-87.6835974
"16","Woodmen of the World Omaha Woodmen Life Insurance Society",9202,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-1817881",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 1684","Thomson","GA",30824,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4663248,-82.5026089
"17","Woodmen of the World Omaha Woodmen Life Insurance Society",9203,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-2103342",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 793","La Fayette","GA",30728,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Woodmen of the World Omaha Woodmen Life Insurance Society",9204,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629208",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"4504 US Highway 31 S","Decatur","AL",35603,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6060203,-86.9838165
"19","Woodmen of the World Omaha Woodmen Life Insurance Society",9205,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","31-1181282",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"4097 Lincolnton Rd","Washington","GA",30673,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7367948,-82.7393089
"20","Woodmen of the World Omaha Woodmen Life Insurance Society",9206,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629668",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1047 N 204th St","Elk Horn","NE",68022,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Woodmen of the World Omaha Woodmen Life Insurance Society",9207,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","52-1631412",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"9485 Dewberry Dr","Newburg","MD",20664,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3773478,-76.9533055
"22","Woodmen of the World Omaha Woodmen Life Insurance Society",9208,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630936",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"8378 Highway 772","West Liberty","KY",41472,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9206508,-83.262147
"23","Woodmen of the World Omaha Woodmen Life Insurance Society",9209,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630496",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1101 Town Lake Dr","Longview","TX",75601,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5007031,-94.74049
"24","Woodmen of the World Omaha Woodmen Life Insurance Society",9210,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","57-0876342",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1331 Highway 20","Abbeville","SC",29620,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1779495,-82.3792463
"25","Woodmen of the World Omaha Woodmen Life Insurance Society",9211,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629087",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"4383 Nc Highway 801 N","Mocksville","NC",27028,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8940236,-80.5617846
"26","Woodmen of the World Omaha Woodmen Life Insurance Society",9212,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","56-1413253",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"143 Walnut Dr","Hays","NC",28635,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.243135,-81.1123402227273
"27","Woodmen of the World Omaha Woodmen Life Insurance Society",9213,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630914",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 141","Auburn","KY",42206,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8642088,-86.7102735
"28","Woodmen of the World Omaha Woodmen Life Insurance Society",9214,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630642",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"159 Royale Rd","Moultrie","GA",31768,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.179998,-83.7887928
"29","Woodmen of the World Omaha Woodmen Life Insurance Society",9215,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629420",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1732 Western Ave","Albany","NY",12203,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6511674,-73.754968
"30","Woodmen of the World Omaha Woodmen Life Insurance Society",9216,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629400",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"6636 Country Squire Ln","Omaha","NE",68152,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2587459,-95.9383758
