"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"14","ACCEL","Phoenix","AZ","85051","953497070","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",33.4484367,-112.074141
"15","ACOMERPR Corporation","Mayaguez","PR","00680","660944244","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",18.2011161,-67.1391124
"16","ACTION FOR BOSTON COMMUNITY DEVELOPMENT, INC","Boston","MA","02111","042304133","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"17","ACTION RESOURCES INTERNATIONAL","Laramie","WY","82072","841296410","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",41.311367,-105.591101
"18","ADAMS, COUNTY OF","Brighton","CO","80601","846000732","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",39.983721,-104.8110775
"19","ADMINISTRATION, ALASKA DEPARTMENT OF","Juneau","AK","99801","926001185","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",58.3019496,-134.419734
"20","ADMINISTRATION, WISCONSIN DEPARTMENT OF","Madison","WI","53703","396028867","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",43.074761,-89.3837613
"21","ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE","New Orleans","LA","70118","720423889","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families",29.9759983,-90.0782127
"22","ADVOCAP Inc","Fond Du Lac","WI","54935","391053365","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",43.7748763,-88.4458033
"23","AFTER-SCHOOL ALL-STARS","Los Angeles","CA","90048","954441208","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",34.0536909,-118.242766
"24","AGENCY ON AGING OF SOUTH CENTRAL CONNECTICUT, INC","North Haven","CT","06473","060915531","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.3909305,-72.859545
"25","AGING AND COMMUNITY SERVICES OF SOUTH CENTRAL INDIANA INC","Columbus","IN","47201","311017271","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.2014405,-85.9213796
"26","AGRICULTURE, CONSERVATION & FORESTRY, MAINE DEPARTMENT OF","Augusta","ME","04333","016000001","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",44.3169922,-69.7734278
"27","ALASKA DEPARTMENT OF COMMERCE COMMUNITY & ECONOMIC DEVELOPMENT","Anchorage","AK","99501","926001185","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",61.2163129,-149.894852
"28","ALPINE ACHIEVERS INITIATIVE","Alamosa","CO","81101","811469355","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.469877,-105.8696
"29","ALU LIKE Inc.","Honolulu","HI","96819","510151095","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",21.304547,-157.855676
"30","AMERICORPS SENIORS/RSVP","Adamsville","TN","38310","620930682","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",35.2697415,-88.3904438424974
"31","ANDREW COUNTY MINISTRIES INC","Savannah","MO","64485","431136856","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.9413678,-94.829946
"32","ANIZ, INC.","Atlanta","GA","30303","582272426","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",33.7489924,-84.3902644
"33","ARC JACKSONVILLE INC","Jacksonville","FL","32209","596209603","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",30.3321838,-81.655651
"34","ARC OF PALM BEACH COUNTY, INC., THE","Riviera Beach","FL","33404","590883386","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",26.784343,-80.0650293
"35","AREA 10 AGENCY","Ellettsville","IN","47429","310955307","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",39.2339348,-86.6250008
"36","AREA AGENCY ON AGING FOR","Towanda","PA","18848","271773562","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.7673567,-76.44291
"37","AROOSTOOK AREA AGENCY ON AGING INC","Presque Isle","ME","04769","010322531","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",46.6812216,-68.0154578
"38","ARcare","Augusta","AR","72006","581666179","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",35.2838668,-91.3633678
"39","AUSTIN ACHIEVE PUBLIC SCHOOLS","Austin","TX","78723","273700807","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.2711286,-97.7436995
"40","AUSTIN, CITY OF","Austin","TX","78744","746000085","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",30.2711286,-97.7436995
"41","Able South Carolina","Columbia","SC","29210","582336332","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",34.0003117,-81.0331309
"42","Above and Beyond Family Recovery Center","Chicago","IL","60612","473675424","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.8755616,-87.6244212
"43","Academy for Urban School Leadership","Chicago","IL","60634","364447457","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.8755616,-87.6244212
"44","Achievement First, Inc.","New Haven","CT","06513","651203744","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",41.3082138,-72.9250518
"45","Action For Eastern Montana, Inc","Glendive","MT","59330","810297418","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",47.10529,-104.71246
"46","Adult Learning Alliance, Inc.","Little Rock","AR","72201","710690604","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",34.7465071,-92.2896267
"47","Affordable Living for the Aging","West Hollywood","CA","90046","953301874","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",34.0923014,-118.3692894
"48","After Military Service","Houston","TX","77003","822280328","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Veterans and Military Families",29.7589382,-95.3676974
"49","Age Well, Inc.","Colchester","VT","05446","222474636","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",44.534084,-73.1846098
"50","AgingNext Inc","Claremont","CA","91711","953100466","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.0966764,-117.7197785
"51","Agriculture, Montana Department of","Helena","MT","59601","810302402","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",46.5927425,-112.036277
"52","Aiken/Barnwell Counties Community Action Agency, Inc.","Aiken","SC","29801","570476234","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.5616173,-81.7224579
"53","Akron Summit Comm Action","Akron","OH","44308","340965339","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.083064,-81.518485
"54","Alabama A&M University","Normal","AL","35762","636001097","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",NA,NA
"55","Alabama Association of Habitat Affiliates (AAHA)","Auburn","AL","36831","631140499","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",32.6098566,-85.4807825
"56","Alabama Commission on Higher Education","Montgomery","AL","36104","636000619","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",32.3669656,-86.3006485
"57","Alabama Rural Ministry","Auburn","AL","36831","631282477","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",32.6098566,-85.4807825
"58","Alabama State University","Montgomery","AL","36104","636001101","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",32.3669656,-86.3006485
"59","Alamo Area Council of Governments","San Antonio","TX","78217","741557491","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",29.4246002,-98.4951405
"60","Alaska Children's Trust","Anchorage","AK","99503","911765129","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",61.2163129,-149.894852
"61","Alaska Pacific University","Anchorage","AK","99508","920023588","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",61.2163129,-149.894852
"62","Albion College","Albion","MI","49224","381359081","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",42.243097,-84.7530304
"63","Aleutian Pribilof Islands Association, Inc.","Anchorage","AK","99518","920073013","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",61.2163129,-149.894852
"64","Alexandria Tutoring Consortium, Inc.","Alexandria","VA","22314","562542869","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.8051095,-77.0470229
"65","Alianza Municipal de Servicios Integrados Inc.","Caguas","PR","00725","660475971","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",18.2345399,-66.0351316
"66","Align9","Kingston","TN","37763","823897134","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",35.8713147,-84.5160916
"67","All Chicago Making Homelessness History - Chicago, IL","Chicago","IL","60661","364272272","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",41.8755616,-87.6244212
"68","Allegany County Human Resources Development Commission, Inc.","Cumberland","MD","21502","526065754","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",39.6526498,-78.762383
"69","Allegheny College","Meadville","PA","16335","250965212","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",41.641445,-80.151449
"70","Allegheny, County of","Pittsburgh","PA","15219","256001017","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",40.4416941,-79.9900861
"71","Alliance for Multicultural Community Services (AMCS)","Houston","TX","77081","760171217","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",29.7589382,-95.3676974
"72","Alliance of Border Collaboratives (ABC)","El Paso","TX","79905","271747560","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",31.7601164,-106.4870404
"73","Alma College","Alma","MI","48801","381359083","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",43.37892,-84.659727
"74","Alvernia University","Reading","PA","19607","231522643","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.335345,-75.9279495
"75","Amarillo Independent School District","Amarillo","TX","79106","756000036","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.20729,-101.8371192
"76","American Conservation Experience","Flagstaff","AZ","86001","371473291","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",35.1987522,-111.651822
"77","American Heart Association, Inc.","Dallas","TX","75231","135613797","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",32.7762719,-96.7968559
"78","American Home Finding Association","Ottumwa","IA","52501","420713654","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.0195659,-92.4116886
"79","American National Red Cross, The","Washington","DC","20006","530196605","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Healthy Futures",38.8950368,-77.0365427
"80","American River Parkway Foundation","Carmichael","CA","95608","942881344","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",38.617127,-121.3282843
"81","American YouthWorks","Austin","TX","78741","742197942","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Environmental Stewardship; Healthy Futures",30.2711286,-97.7436995
"82","Americas for the Arts, Inc (DBA Americas for Conservation and the Arts)","Boulder","CO","80302","320261204","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.0149856,-105.270545
"83","Amigos de las Americas","Houston","TX","77098","741547146","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",29.7589382,-95.3676974
"84","Anderson Interfaith Ministries, Inc","Anderson","SC","29624","570896524","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",34.5068601,-82.6506264
"85","Antioch University","Keene","NH","03431","310536640","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",42.933597,-72.2784264
"86","Appalachia Intermediate Unit 8","Altoona","PA","16602","251215721","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Environmental Stewardship; Healthy Futures",40.518681,-78.394736
"87","Appalachian Community Action & Dev Agency Inc","Gate City","VA","24251","540785849","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",36.6378774,-82.5809876
"88","Appalachian Forest Heritage Area, Inc","Elkins","WV","26241","200815517","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",38.925927,-79.8466552
"89","Appalachian Regional Coalition on Homelessness, The","Johnson City","TN","37604","300224760","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",36.3134398,-82.3534728
"90","Appalachian State University","Boone","NC","28608","561176030","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",36.2187873,-81.684004
"91","Appalachian Sustainable Development","Duffield","VA","24244","311445533","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",36.711763,-82.793294
"92","Apple Patch Community, Inc.","Crestwood","KY","40014","611159539","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",38.3235441,-85.4726215
"93","Applied Information Management Institute","Omaha","NE","68102","470749200","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",41.2587459,-95.9383758
"94","Area Agency On Aging Of Palm Beach/Treasure Coast, Inc.","West Palm Beach","FL","33407","650087858","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",26.715364,-80.0532942
"95","Area Agency on Aging of Central Florida, Inc.","Orlando","FL","32803","593144723","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",28.5421109,-81.3790304
"96","Area Agency on Aging of West Central Arkansas INC","Hot Springs","AR","71913","710521904","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.5038393,-93.0552437
"97","Area Agency on Aging, Region One, Inc","Phoenix","AZ","85014","742371957","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.4484367,-112.074141
"98","Area Office on Aging of Northwestern Ohio Inc.","Toledo","OH","43609","341310295","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship; Healthy Futures",41.6529143,-83.5378173
"99","Arizona Caregiver Coalition, Inc.","Phoenix","AZ","85007","465295415","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.4484367,-112.074141
"100","Arizona Corporation Commission","Phoenix","AZ","85007","866004791","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",33.4484367,-112.074141
"101","Arizona Food Bank Network","Phoenix","AZ","85004","860507679","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",33.4484367,-112.074141
"102","Arizona State University","Tempe","AZ","85281","860196696","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",33.4255117,-111.940016
"103","Arkansas Resource Conservation and Development Council","Roland","AR","72135","581755744","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.9006447,-92.4982142
"104","Arkansas State University","Jonesboro","AR","72401","716000556","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.8272257,-90.6949871
"105","Arrowhead Economic Opportunity Agency Inc","Virginia","MN","55792","416052144","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",47.52326,-92.536571
"106","ArtistYear","Philadelphia","PA","19127","811281053","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.9527237,-75.1635262
"107","Asbury Park City School District","Asbury Park","NJ","07712","216000111","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.2203907,-74.0120817
"108","Ascencia","Glendale","CA","91204","204233822","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",34.1469416,-118.2478471
"109","Ashtabula County Community Action Agency","Ashtabula","OH","44005","341059824","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.865054,-80.789809
"110","Asociacion Pro Juventud","Catano","PR","00962","660406990","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Education; Healthy Futures",18.4410233,-66.1191055
"111","Aspire P16 Collaborative","Springfield","OH","45505","331147753","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",39.9234046,-83.810138
"112","Aspire! Afterschool Learning","Arlington","VA","22204","541705642","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.8903961,-77.0841585
"113","Association House of Chicago","Chicago","IL","60651","362166961","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",41.8755616,-87.6244212
"114","Association for Utah Community Health","Salt Lake City","UT","84107","870430946","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",40.7596198,-111.886797
"115","Association of State and Territorial Chronic Disease Program Directors, Inc.","Decatur","GA","30030","731328414","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",33.7737582,-84.296069
"116","Athens Community Council on Aging, Inc.","Athens","GA","30601","580977680","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",33.9597677,-83.376398
"117","Atlanta Regional Commission","Atlanta","GA","30303","586002324","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",33.7489924,-84.3902644
"118","Attorney General, Office of the","Olympia","WA","98504","916001060","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Veterans and Military Families",47.0451022,-122.8950075
"119","Auburn University","Auburn","AL","36849","636000724","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",32.6098566,-85.4807825
"120","Audubon Area Community Services, Inc.","Owensboro","KY","42301","237364935","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",37.7742152,-87.1133304
"121","Augsburg University","Minneapolis","MN","55454","410694721","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",44.9772995,-93.2654692
"122","Ausable Valley Central School District","Clintonville","NY","12924","141505002","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Education; Healthy Futures",44.4656034,-73.5826369
"123","Austin Creative Reuse","Austin","TX","78723","271275644","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Environmental Stewardship",30.2711286,-97.7436995
"124","Austin Peay State University","Clarksville","TN","37044","620646576","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",36.5277607,-87.3588703
"125","AxessPointe Community Health Center, Inc.","Ravenna","OH","44266","341735884","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.157557,-81.242047
"126","BALTIMORE CITY HEALTH DEPARTMENT","Baltimore","MD","21202","526000769","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.2908816,-76.610759
"127","BALTIMORE COUNTY MARYLAND","Towson","MD","21204","526000889","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.4018513,-76.6023803
"128","BAY AREA COMMUNITY RESOURCES, INC.","San Rafael","CA","94903","942346815","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Education; Environmental Stewardship",37.9747795,-122.5316686
"129","BENS Connects Community Development Corporation","Birmingham","AL","35203","811002589","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Healthy Futures",33.5206824,-86.8024326
"130","BIG BROTHERS BIG SISTERS OF S W LOUISIANA","Lake Charles","LA","70607","721009565","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.2305095,-93.2169807
"131","BIG BROTHERS BIG SISTERS OF ST. LUCIE, INDIAN RIVER & OKEECHOBEE COUNTIES, INC","Fort Pierce","FL","34950","592455513","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",27.4467056,-80.3256056
"132","BLAIR SENIOR SERVICES INC","Altoona","PA","16601","251259406","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",40.518681,-78.394736
"133","BLUE GRASS COMMUNITY ACTION PARTNERSHIP, INC.","Frankfort","KY","40601","610659583","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.2009055,-84.8732836
"134","BLUEPRINTS","Washington","PA","15301","251153028","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",40.17396,-80.2461714
"135","BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED","Reno","NV","89557","886000024","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",39.5261206,-119.8126581
"136","BOSTON MEDICAL CENTER CORPORATION","Boston","MA","02118","043314093","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",42.3554334,-71.060511
"137","BOSTON MEDICAL CENTER CORPORATION Account 2","Boston","MA","02118","043314093","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.3554334,-71.060511
"138","BOSTON, CITY OF","Boston","MA","02201","046001380","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",42.3554334,-71.060511
"139","BOXWOOD LEARNING CENTER INC","Roselle","NJ","07203","814945906","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.6527033,-74.2579418
"140","BOYS & GIRLS CLUB OF CENTRAL NEW MEXICO","Albuquerque","NM","87110","850106943","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",35.0841034,-106.650985
